"gender" "age" "attitude" "deep" "stra" "surf" "points"
"44" "F" 25 2.5 3 3 3.16666666666667 12
"45" "M" 30 3.2 3.5 2.5 3.5 24
"46" "F" 48 3.5 3.91666666666667 4.875 2.66666666666667 17
"47" "F" 24 3.2 3.91666666666667 5 2.41666666666667 29
"48" "F" 40 4.2 4.83333333333333 4.375 3.58333333333333 23
"49" "M" 25 3.1 4.16666666666667 3.25 2.08333333333333 28
"50" "F" 23 3.9 3.08333333333333 4 3.75 31
"51" "F" 25 1.9 4.25 3.125 2.91666666666667 23
"52" "F" 23 2.1 2.66666666666667 2.5 2.91666666666667 25
"53" "M" 27 2.5 4.41666666666667 3.125 2.41666666666667 18
"54" "M" 25 3.2 3.5 3.25 3 19
"55" "M" 23 3.2 3 2.125 3.41666666666667 22
"56" "F" 23 2.6 4.08333333333333 2.75 2.91666666666667 25
"57" "F" 23 2.3 3.08333333333333 2.375 3.25 21
"58" "F" 45 3.8 3.83333333333333 3.125 3.25 9
"59" "F" 22 2.8 4.08333333333333 4 2.33333333333333 28
"60" "F" 23 3.3 2.91666666666667 4 3.25 25
"61" "M" 21 4.8 3.66666666666667 2.25 2.5 29
"62" "M" 21 4 4.5 3.25 1.75 33
"63" "F" 21 4 4.33333333333333 3.625 2.25 33
"64" "F" 21 4.7 4 3.625 2.08333333333333 25
"65" "F" 26 2.3 3.08333333333333 2.5 2.83333333333333 18
"66" "F" 25 3.1 4.5 1.875 2.83333333333333 22
"67" "F" 26 2.7 3.83333333333333 2 2.41666666666667 17
"68" "M" 21 4.1 3.58333333333333 1.875 2.25 25
"70" "F" 23 3.4 3.41666666666667 4 2.83333333333333 28
"71" "F" 22 2.5 3.66666666666667 2.875 2.25 22
"72" "F" 22 2.1 1.75 3.875 1.83333333333333 26
"73" "F" 22 1.4 3.66666666666667 2.5 2.91666666666667 11
"74" "F" 23 1.9 4.5 2.75 2.91666666666667 29
"75" "M" 22 3.7 4.5 4.5 2.08333333333333 22
"77" "M" 23 3.2 4.91666666666667 3.375 2.33333333333333 21
"78" "M" 24 2.8 2.58333333333333 2.625 2.41666666666667 28
"79" "F" 22 4.1 2.83333333333333 4.125 2.75 33
"80" "F" 23 2.5 4 2.625 3.25 16
"81" "M" 22 2.8 4.5 2.25 1.75 31
"82" "M" 20 3.8 3.66666666666667 2.75 2.58333333333333 22
"83" "M" 22 3.1 3.16666666666667 3 3.33333333333333 31
"84" "M" 21 3.5 4.83333333333333 1.625 2.83333333333333 23
"85" "F" 22 3.6 4.33333333333333 1.875 2.5 26
"86" "F" 23 2.6 4.25 3.375 2.41666666666667 12
"87" "M" 21 4.4 4.83333333333333 3.75 2.41666666666667 26
"88" "M" 22 4.5 3.33333333333333 2.125 2.58333333333333 31
"89" "M" 29 3.2 3.41666666666667 2.375 3 19
"91" "F" 29 3.9 3.5 2.75 2 30
"92" "F" 21 2.5 3.5 3.125 3.41666666666667 12
"93" "M" 28 3.3 3.66666666666667 3.5 2.83333333333333 17
"95" "F" 21 3.3 4.16666666666667 2.625 2.25 18
"96" "F" 30 3 4 3.375 2.75 19
"97" "F" 21 2.9 3.91666666666667 2.25 3.91666666666667 21
"98" "M" 23 3.3 3.75 3 2.33333333333333 24
"99" "F" 21 3.3 3.83333333333333 4 2.75 28
"100" "F" 21 3.5 4.16666666666667 3.5 2.75 17
"101" "F" 20 3.6 3.5 2.625 2.91666666666667 18
"103" "M" 22 3.7 4.41666666666667 2.5 2.08333333333333 17
"105" "M" 21 4.2 3.91666666666667 3.75 3.66666666666667 23
"107" "M" 21 3.2 4.33333333333333 3.625 2.83333333333333 26
"108" "F" 20 5 4 4.125 3.41666666666667 28
"109" "M" 22 4.7 3.75 4.375 1.58333333333333 31
"110" "F" 20 3.6 4.5 2.625 2.91666666666667 27
"111" "F" 20 3.6 3.75 4 3 25
"112" "M" 24 2.9 4.16666666666667 2.75 2.91666666666667 23
"113" "F" 20 3.5 4.08333333333333 2.75 2.66666666666667 21
"114" "F" 19 4 2.41666666666667 1.375 3 27
"115" "F" 21 3.5 3.66666666666667 2.25 2.75 28
"116" "F" 21 3.2 3.08333333333333 3.625 3.08333333333333 23
"117" "F" 22 2.6 4.33333333333333 3.75 2.5 21
"118" "F" 25 2 2.75 4 2.33333333333333 25
"119" "F" 21 2.7 3.33333333333333 3.125 3 11
"120" "F" 22 3.2 4.25 3.25 3 19
"121" "F" 25 3.3 2.16666666666667 2.125 4 24
"122" "F" 20 3.9 3.41666666666667 2.875 3.25 28
"123" "M" 24 3.3 3 1.5 3.5 21
"124" "F" 20 3 2.83333333333333 2.5 3.5 24
"125" "M" 21 3.7 3.33333333333333 3.25 3.83333333333333 24
"128" "F" 20 2.5 3.91666666666667 3.625 2.91666666666667 20
"129" "F" 20 2.9 3.75 3.875 2.16666666666667 19
"130" "M" 31 3.9 4.5 3.875 1.66666666666667 30
"131" "F" 20 3.6 4.5 2.375 2.08333333333333 22
"132" "F" 22 2.9 3.83333333333333 3 2.83333333333333 16
"133" "F" 22 2.1 3.5 3.375 3.41666666666667 16
"134" "M" 21 3.1 3.58333333333333 2.75 3.33333333333333 19
"136" "M" 22 4 3.5 4.5 2.58333333333333 30
"137" "F" 21 3.1 4.58333333333333 2.625 2.83333333333333 23
"138" "F" 21 2.3 4.41666666666667 2.75 3.33333333333333 19
"139" "F" 21 2.8 4 3.25 3 18
"140" "F" 21 3.7 4.16666666666667 4.125 2.58333333333333 28
"141" "F" 20 2.6 3.41666666666667 3.375 2.41666666666667 21
"142" "F" 21 2.4 4 2.75 3.58333333333333 19
"143" "F" 25 3 3.75 4.125 2.08333333333333 27
"146" "M" 21 2.8 2 3.25 4.33333333333333 24
"147" "F" 24 2.9 4.41666666666667 2.875 2.66666666666667 21
"148" "F" 20 2.4 3.91666666666667 2.875 3 20
"149" "M" 21 3.1 4.08333333333333 2.375 2.66666666666667 28
"150" "F" 20 1.9 3.83333333333333 3.875 2.16666666666667 12
"151" "F" 20 2 3.83333333333333 2.125 2.66666666666667 21
"152" "F" 18 3.8 3.41666666666667 4 2.25 28
"153" "F" 21 3.4 3.75 3.25 2.66666666666667 31
"154" "F" 19 3.7 3.5 2.625 3.33333333333333 18
"155" "F" 21 2.9 4.91666666666667 2.75 3.5 25
"156" "F" 20 2.3 2.91666666666667 4 2.75 19
"157" "M" 21 4.1 4.41666666666667 3 2 21
"158" "F" 20 2.7 3.41666666666667 3.375 2.83333333333333 16
"159" "F" 21 3.5 3.91666666666667 3.875 3.5 7
"160" "F" 20 3.4 3.58333333333333 3.25 2.5 21
"161" "F" 18 3.2 4.75 3.375 3.16666666666667 17
"162" "M" 22 3.3 3.41666666666667 4.125 3.08333333333333 22
"163" "F" 22 3.3 3.75 3.5 2.91666666666667 18
"164" "M" 24 3.5 2.58333333333333 2 3.16666666666667 25
"165" "F" 19 3.2 4.33333333333333 3.625 2.5 24
"166" "F" 20 3.1 3.25 3.375 3.83333333333333 23
"168" "F" 20 2.8 4.33333333333333 2.125 2.25 23
"169" "F" 17 1.7 4.5 4.625 3.41666666666667 26
"170" "M" 19 1.9 3 2.5 3.75 12
"172" "F" 20 3.5 2.91666666666667 2.875 3 32
"173" "F" 20 2.4 4.08333333333333 2.75 2.58333333333333 22
"175" "F" 20 2.1 4.66666666666667 4 3.33333333333333 20
"176" "F" 20 2.9 4.25 2.375 2.83333333333333 21
"177" "F" 19 1.9 2.83333333333333 3.875 3 23
"178" "F" 19 2 4.25 3.375 2.83333333333333 20
"179" "F" 22 4.2 2.83333333333333 1.75 3.16666666666667 28
"180" "M" 35 4.1 4 3 2.75 31
"181" "F" 18 3.7 3.08333333333333 2.625 3.41666666666667 18
"182" "F" 19 3.6 3.5 2.625 3 30
"183" "M" 21 1.8 4 3.375 2.66666666666667 19
