HDI Rank,Country,Human Development Index (HDI),Life Expectancy at Birth,Expected Years of Education,Mean Years of Education,Gross National Income (GNI) per Capita,GNI per Capita Rank Minus HDI Rank
105,Samoa,0.702,73.4,12.9,10.3,"5,327",24
106,Botswana,0.698,64.5,12.5,8.9,"16,646",-41
107,Moldova (Republic of),0.693,71.6,11.9,11.2,"5,223",23
108,Egypt,0.690,71.1,13.5,6.6,"10,512",-12
109,Turkmenistan,0.688,65.6,10.8,9.9,"13,066",-28
110,Gabon,0.684,64.4,12.5,7.8,"16,367",-42
110,Indonesia,0.684,68.9,13.0,7.6,"9,788",-9
112,Paraguay,0.679,72.9,11.9,7.7,"7,643",-3
113,"Palestine, State of",0.677,72.9,13.0,8.9,"4,699",21
114,Uzbekistan,0.675,68.4,11.5,10.9,"5,567",10
115,Philippines,0.668,68.2,11.3,8.9,"7,915",-7
116,El Salvador,0.666,73.0,12.3,6.5,"7,349",-3
116,South Africa,0.666,57.4,13.6,9.9,"12,122",-29
116,Viet Nam,0.666,75.8,11.9,7.5,"5,092",15
119,Bolivia (Plurinational State of),0.662,68.3,13.2,8.2,"5,760",4
120,Kyrgyzstan,0.655,70.6,12.5,10.6,"3,044",29
121,Iraq,0.654,69.4,10.1,6.4,"14,003",-44
122,Cabo Verde,0.646,73.3,13.5,4.7,"6,094",-1
123,Micronesia (Federated States of),0.640,69.1,11.7,9.7,"3,432",21
124,Guyana,0.636,66.4,10.3,8.5,"6,522",-4
125,Nicaragua,0.631,74.9,11.5,6.0,"4,457",12
126,Morocco,0.628,74.0,11.6,4.4,"6,850",-8
126,Namibia,0.628,64.8,11.3,6.2,"9,418",-21
128,Guatemala,0.627,71.8,10.7,5.6,"6,929",-11
129,Tajikistan,0.624,69.4,11.2,10.4,"2,517",27
130,India,0.609,68.0,11.7,5.4,"5,497",-4
131,Honduras,0.606,73.1,11.1,5.5,"3,938",7
132,Bhutan,0.605,69.5,12.6,3.0,"7,176",-17
133,Timor-Leste,0.595,68.2,11.7,4.4,"5,363",-6
134,Syrian Arab Republic,0.594,69.6,12.3,6.3,"2,728",21
134,Vanuatu,0.594,71.9,10.6,6.8,"2,803",19
136,Congo,0.591,62.3,11.1,6.1,"6,012",-14
137,Kiribati,0.590,66.0,12.3,7.8,"2,434",21
138,Equatorial Guinea,0.587,57.6,9.0,5.5,"21,056",-84
139,Zambia,0.586,60.1,13.5,6.6,"3,734",2
140,Ghana,0.579,61.4,11.5,7.0,"3,852",-1
141,Lao People's Democratic Republic,0.575,66.2,10.6,5.0,"4,680",-6
142,Bangladesh,0.570,71.6,10.0,5.1,"3,191",5
143,Cambodia,0.555,68.4,10.9,4.4,"2,949",7
143,Sao Tome and Principe,0.555,66.5,11.3,4.7,"2,918",8
145,Kenya,0.548,61.6,11.0,6.3,"2,762",9
145,Nepal,0.548,69.6,12.4,3.3,"2,311",16
147,Pakistan,0.538,66.2,7.8,4.7,"4,866",-14
148,Myanmar,0.536,65.9,8.6,4.1,"4,608",-12
149,Angola,0.532,52.3,11.4,4.7,"6,822",-30
150,Swaziland,0.531,49.0,11.3,7.1,"5,542",-25
151,Tanzania (United Republic of),0.521,65.0,9.2,5.1,"2,411",8
152,Nigeria,0.514,52.8,9.0,5.9,"5,341",-24
153,Cameroon,0.512,55.5,10.4,6.0,"2,803",-1
154,Madagascar,0.510,65.1,10.3,6.0,"1,328",24
155,Zimbabwe,0.509,57.5,10.9,7.3,"1,615",13
156,Mauritania,0.506,63.1,8.5,3.8,"3,560",-14
156,Solomon Islands,0.506,67.9,9.2,5.0,"1,540",16
158,Papua New Guinea,0.505,62.6,9.9,4.0,"2,463",-1
159,Comoros,0.503,63.3,11.5,4.6,"1,456",16
160,Yemen,0.498,63.8,9.2,2.6,"3,519",-17
161,Lesotho,0.497,49.8,11.1,5.9,"3,306",-16
162,Togo,0.484,59.7,12.2,4.5,"1,228",17
163,Haiti,0.483,62.8,8.7,4.9,"1,669",4
163,Rwanda,0.483,64.2,10.3,3.7,"1,458",11
163,Uganda,0.483,58.5,9.8,5.4,"1,613",6
166,Benin,0.480,59.6,11.1,3.3,"1,767",0
167,Sudan,0.479,63.5,7.0,3.1,"3,809",-27
168,Djibouti,0.470,62.0,6.4,3.8,"3,276",-22
169,South Sudan,0.467,55.7,7.6,5.4,"2,332",-9
170,Senegal,0.466,66.5,7.9,2.5,"2,188",-8
171,Afghanistan,0.465,60.4,9.3,3.2,"1,885",-7
172,Côte d'Ivoire,0.462,51.5,8.9,4.3,"3,171",-24
173,Malawi,0.445,62.8,10.8,4.3,747,13
174,Ethiopia,0.442,64.1,8.5,2.4,"1,428",2
175,Gambia,0.441,60.2,8.8,2.8,"1,507",-2
176,Congo (Democratic Republic of the),0.433,58.7,9.8,6.0,680,11
177,Liberia,0.430,60.9,9.5,4.1,805,7
178,Guinea-Bissau,0.420,55.2,9.0,2.8,"1,362",-1
179,Mali,0.419,58.0,8.4,2.0,"1,583",-8
180,Mozambique,0.416,55.1,9.3,3.2,"1,123",1
181,Sierra Leone,0.413,50.9,8.6,3.1,"1,780",-16
182,Guinea,0.411,58.8,8.7,2.4,"1,096",0
183,Burkina Faso,0.402,58.7,7.8,1.4,"1,591",-13
184,Burundi,0.400,56.7,10.1,2.7,758,1
185,Chad,0.392,51.6,7.4,1.9,"2,085",-22
186,Eritrea,0.391,63.7,4.1,3.9,"1,130",-6
187,Central African Republic,0.350,50.7,7.2,4.2,581,1
188,Niger,0.348,61.4,5.4,1.5,908,-5
,Arab States,0.686,70.6,12.0,6.4,"15,722",
,East Asia and the Pacific,0.710,74.0,12.7,7.5,"11,449",
,Europe and Central Asia,0.748,72.3,13.6,10.0,"12,791",
,Latin America and the Caribbean,0.748,75.0,14.0,8.2,"14,242",
,South Asia,0.607,68.4,11.2,5.5,"5,605",
,Sub-Saharan Africa,0.518,58.5,9.6,5.2,"3,363",
,World,0.711,71.5,12.2,7.9,"14,301",
