GII Rank,Country,Gender Inequality Index (GII),Maternal Mortality Ratio,Adolescent Birth Rate,Percent Representation in Parliament,Population with Secondary Education (Female),Population with Secondary Education (Male),Labour Force Participation Rate (Female),Labour Force Participation Rate (Male)
79,Grenada,..,23,35.4,25,..,..,..,..
80,Jordan,0.473,50,26.5,11.6,69.5,78.5,15.6,66.6
81,The former Yugoslav Republic of Macedonia,0.164,7,18.3,33.3,40.2,55.6,43.1,67.5
81,Ukraine,0.286,23,25.7,11.8,91.7,95.9,53.2,66.9
83,Algeria,0.413,89,10,25.7,26.7,31,15.2,72.2
84,Peru,0.406,89,50.7,22.3,56.3,66.1,68.2,84.4
85,Albania,0.217,21,15.3,20.7,81.8,87.9,44.9,65.5
85,Armenia,0.318,29,27.1,10.7,94,95,54.2,72.6
85,Bosnia and Herzegovina,0.201,8,15.1,19.3,44.9,69.8,34.1,57.3
88,Ecuador,0.407,87,77,41.6,40.1,39.4,54.7,82.7
89,Saint Lucia,..,34,56.3,20.7,..,..,62.7,76.2
90,China,0.191,32,8.6,23.6,58.7,71.9,63.9,78.3
90,Fiji,0.418,59,42.8,14,64.2,64.5,37.5,72
90,Mongolia,0.325,68,18.7,14.9,85.3,84.1,56.6,69.3
93,Thailand,0.38,26,41,6.1,35.7,40.8,64.3,80.7
94,Dominica,..,..,..,21.9,29.7,23.2,..,..
94,Libya,0.134,15,2.5,16,55.5,41.9,30,76.4
96,Tunisia,0.24,46,4.6,31.3,32.8,46.1,25.1,70.9
97,Colombia,0.429,83,68.5,20.9,56.9,55.6,55.8,79.7
97,Saint Vincent and the Grenadines,..,45,54.5,13,..,..,55.7,78
99,Jamaica,0.43,80,70.1,16.7,74,70.2,56.1,70.9
100,Tonga,0.666,120,18.1,0,87.5,88.3,53.5,74.6
101,Belize,0.426,45,71.4,13.3,76.4,75.8,49.2,82.3
101,Dominican Republic,0.477,100,99.6,19.1,55.6,53.1,51.3,78.6
103,Suriname,0.463,130,35.2,11.8,44.6,47.1,40.5,68.8
104,Maldives,0.243,31,4.2,5.9,27.3,32.7,56.2,77.5
105,Samoa,0.457,58,28.3,6.1,64.3,60,23.5,58.4
106,Botswana,0.48,170,44.2,9.5,73.6,77.9,71.9,81.6
107,Moldova (Republic of),0.248,21,29.3,20.8,93.6,96.6,37.6,44.2
108,Egypt,0.573,45,43,2.2,43.9,60.6,23.7,74.8
109,Turkmenistan,..,61,18,25.8,..,..,46.9,76.9
110,Gabon,0.514,240,103,16.2,53.9,36.1,56.2,65.4
110,Indonesia,0.494,190,48.3,17.1,39.9,49.2,51.4,84.2
112,Paraguay,0.472,110,67,16.8,36.8,43,55.7,84.8
113,"Palestine, State of",..,..,45.8,..,53.9,59.4,15.4,66.4
114,Uzbekistan,..,36,38.8,16.4,..,..,48.1,75.6
115,Philippines,0.42,120,46.8,27.1,65.9,63.7,51.1,79.7
116,El Salvador,0.427,69,76,27.4,36.8,43.6,47.8,79
116,South Africa,0.407,140,50.9,40.7,72.7,75.9,44.5,60.5
116,Viet Nam,0.308,49,29,24.3,59.4,71.2,73,82.2
119,Bolivia (Plurinational State of),0.444,200,71.9,51.8,47.6,59.1,64.2,80.9
120,Kyrgyzstan,0.353,75,29.3,23.3,94.5,96.8,56,79.5
121,Iraq,0.539,67,68.7,26.5,27.8,50.2,14.9,69.8
122,Cabo Verde,..,53,70.6,20.8,..,..,51.5,83.7
123,Micronesia (Federated States of),..,96,18.6,0,..,..,..,..
124,Guyana,0.515,250,88.5,31.3,60.3,47.8,42.6,80.5
125,Nicaragua,0.449,100,100.8,39.1,39.4,38.3,47.4,80.3
126,Morocco,0.525,120,35.8,11,20.7,30.2,26.5,75.8
126,Namibia,0.401,130,54.9,37.7,33.3,34.4,54.7,63.7
128,Guatemala,0.533,140,97.2,13.3,21.9,23.2,49.3,88.2
129,Tajikistan,0.357,44,42.8,15.2,95.1,91.2,58.9,77.1
130,India,0.563,190,32.8,12.2,27,56.6,27,79.9
131,Honduras,0.48,120,84,25.8,28,25.8,42.8,82.9
132,Bhutan,0.457,120,40.9,8.3,34,34.5,66.7,77.2
133,Timor-Leste,..,270,52.2,38.5,..,..,24.6,50.8
134,Syrian Arab Republic,0.533,49,41.6,12.4,29.5,40.5,13.5,72.7
134,Vanuatu,..,86,44.8,0,..,..,61.5,80
136,Congo,0.593,410,126.7,11.5,39.7,47,68.5,73
137,Kiribati,..,130,16.6,8.7,..,..,..,..
138,Equatorial Guinea,..,290,112.6,19.7,..,..,80.7,92.2
139,Zambia,0.587,280,125.4,12.7,25.8,44,73.1,85.6
140,Ghana,0.554,380,58.4,10.9,45.2,64.7,67.3,71.4
141,Lao People's Democratic Republic,..,..,65,25,22.9,37,76.3,79.1
142,Bangladesh,0.503,170,80.6,20,34.1,41.3,57.4,84.1
143,Cambodia,0.477,170,44.3,19,9.9,22.9,78.8,86.5
143,Sao Tome and Principe,..,210,65.1,18.2,..,..,45.3,77.8
145,Kenya,0.552,400,93.6,20.8,25.3,31.4,62.2,72.4
145,Nepal,0.489,190,73.7,29.5,17.7,38.2,79.9,87.1
147,Pakistan,0.536,170,27.3,19.7,19.3,46.1,24.6,82.9
148,Myanmar,0.413,200,12.1,4.7,22.9,15.3,75.2,82.3
149,Angola,..,460,170.2,36.8,..,..,63.3,76.9
150,Swaziland,0.557,310,72,14.7,21.9,26,43.9,71.6
151,Tanzania (United Republic of),0.547,410,122.7,36,5.6,9.5,88.1,90.2
152,Nigeria,..,560,119.6,6.6,..,..,48.2,63.7
153,Cameroon,0.587,590,115.8,27.1,21.3,34.9,63.8,76.8
154,Madagascar,..,440,122.8,20.5,..,..,86.6,90.5
155,Zimbabwe,0.504,470,60.3,35.1,48.7,62,83.2,89.7
156,Mauritania,0.61,320,73.3,22.2,8.3,20.9,28.7,79.1
156,Solomon Islands,..,130,64.9,2,..,..,53.4,79
158,Papua New Guinea,0.611,220,62.1,2.7,7.6,14.5,70.5,74
159,Comoros,..,350,51.1,3,..,..,35.2,80.1
160,Yemen,0.744,270,47,0.7,8.6,26.7,25.4,72.2
161,Lesotho,0.541,490,89.4,26.8,21.9,19,59,73.5
162,Togo,0.588,450,91.5,17.6,16.1,40.3,80.6,81.3
163,Haiti,0.603,380,42,3.5,22.4,35.2,60.9,71
163,Rwanda,0.4,320,33.6,57.5,8,8.8,86.4,85.3
163,Uganda,0.538,360,126.6,35,22.9,33.5,75.8,79.2
166,Benin,0.614,340,90.2,8.4,11.3,27,67.6,78.3
167,Sudan,0.591,360,84,23.8,12.1,18.2,31.3,76
168,Djibouti,..,230,18.6,12.7,..,..,36.3,67.7
169,South Sudan,..,730,75.3,24.3,..,..,..,..
170,Senegal,0.528,320,94.4,42.7,7.2,15.4,66,88
171,Afghanistan,0.693,400,86.8,27.6,5.9,29.8,15.8,79.5
172,Côte d'Ivoire,0.679,720,130.3,9.2,14,30.1,52.4,81.4
173,Malawi,0.611,510,144.8,16.7,11.1,21.6,84.6,81.5
174,Ethiopia,0.558,420,78.4,25.5,7.8,18.2,78.2,89.3
175,Gambia,0.622,430,115.8,9.4,17.4,31.5,72.2,82.9
176,Congo (Democratic Republic of the),0.673,730,135.3,8.2,12.8,32.4,70.7,73.2
177,Liberia,0.651,640,117.4,10.7,15.4,39.3,58.2,64.8
178,Guinea-Bissau,..,560,99.3,13.7,..,..,68.2,78.5
179,Mali,0.677,550,175.6,9.5,7.7,15.1,50.8,81.4
180,Mozambique,0.591,480,137.8,39.6,1.4,6.2,85.5,82.8
181,Sierra Leone,0.65,1100,100.7,12.4,10,21.7,65.7,69
182,Guinea,..,650,131,21.9,..,..,65.6,78.3
183,Burkina Faso,0.631,400,115.4,13.3,0.9,3.2,77.1,90
184,Burundi,0.492,740,30.3,34.9,5.3,8.3,83.3,82
185,Chad,0.706,980,152,14.9,1.7,9.9,64,79.2
186,Eritrea,..,380,65.3,22,..,..,80,89.8
187,Central African Republic,0.655,880,98.3,12.5,10.1,26.7,72.6,85.1
188,Niger,0.713,630,204.8,13.3,2.4,7.8,40,89.7
,Arab States,0.537,155,45.4,14,34.7,47.6,23.2,75.3
,East Asia and the Pacific,0.328,72,21.2,18.7,54.7,66.3,62.6,79.4
,Europe and Central Asia,0.3,28,30.8,19,70.8,80.6,45.6,70
,Latin America and the Caribbean,0.415,85,68.3,27,54.3,55.2,53.7,79.8
,South Asia,0.536,183,38.7,17.5,29.1,54.6,29.8,80.3
,Sub-Saharan Africa,0.575,506,109.7,22.5,22.1,31.5,65.4,76.6
,World,0.449,210,47.4,21.8,54.5,65.4,50.3,76.7
