"gender","age","attitude","deep","stra","surf","points"
"F",30,1.7,4.08333333333333,4,3.41666666666667,23
"F",25,2.5,2.91666666666667,3,3.16666666666667,12
"M",30,3.2,3.33333333333333,2.5,3.5,24
"F",48,3.5,3.83333333333333,4.875,2.66666666666667,17
"F",24,3.2,3.66666666666667,5,2.41666666666667,29
"F",40,4.2,4.66666666666667,4.375,3.58333333333333,23
"M",25,3.1,3.75,3.25,2.08333333333333,28
"F",23,3.9,3.41666666666667,4,3.75,31
"F",25,1.9,4.16666666666667,3.125,2.91666666666667,23
"F",23,2.1,2.91666666666667,2.5,2.91666666666667,25
"M",27,2.5,4.16666666666667,3.125,2.41666666666667,18
"M",25,3.2,3.58333333333333,3.25,3,19
"M",23,3.2,2.83333333333333,2.125,3.41666666666667,22
"F",23,2.6,4,2.75,2.91666666666667,25
"F",23,2.3,2.91666666666667,2.375,3.25,21
"F",45,3.8,3,3.125,3.25,9
"F",22,2.8,4.08333333333333,4,2.33333333333333,28
"F",23,3.3,2.91666666666667,4,3.25,25
"M",21,4.8,3.5,2.25,2.5,29
"M",21,4,4.33333333333333,3.25,1.75,33
"F",21,4,4.25,3.625,2.25,33
"F",21,4.7,3.41666666666667,3.625,2.08333333333333,25
"F",26,2.3,3.08333333333333,2.5,2.83333333333333,18
"F",25,3.1,4.58333333333333,1.875,2.83333333333333,22
"F",26,2.7,3.41666666666667,2,2.41666666666667,17
"M",21,4.1,3.41666666666667,1.875,2.25,25
"F",23,3.4,3.41666666666667,4,2.83333333333333,28
"F",22,2.5,3.58333333333333,2.875,2.25,22
"F",22,2.1,1.58333333333333,3.875,1.83333333333333,26
"F",22,1.4,3.33333333333333,2.5,2.91666666666667,11
"F",23,1.9,4.33333333333333,2.75,2.91666666666667,29
"M",22,3.7,4.41666666666667,4.5,2.08333333333333,22
"M",23,3.2,4.83333333333333,3.375,2.33333333333333,21
"M",24,2.8,3.08333333333333,2.625,2.41666666666667,28
"F",22,4.1,3,4.125,2.75,33
"F",23,2.5,4.08333333333333,2.625,3.25,16
"M",22,2.8,4.08333333333333,2.25,1.75,31
"M",20,3.8,3.75,2.75,2.58333333333333,22
"M",22,3.1,3.08333333333333,3,3.33333333333333,31
"M",21,3.5,4.75,1.625,2.83333333333333,23
"F",22,3.6,4.25,1.875,2.5,26
"F",23,2.6,4.16666666666667,3.375,2.41666666666667,12
"M",21,4.4,4.41666666666667,3.75,2.41666666666667,26
"M",22,4.5,3.83333333333333,2.125,2.58333333333333,31
"M",29,3.2,3.33333333333333,2.375,3,19
"F",29,3.9,3.16666666666667,2.75,2,30
"F",21,2.5,3.16666666666667,3.125,3.41666666666667,12
"M",28,3.3,3.83333333333333,3.5,2.83333333333333,17
"F",21,3.3,4.25,2.625,2.25,18
"F",30,3,3.83333333333333,3.375,2.75,19
"F",21,2.9,3.66666666666667,2.25,3.91666666666667,21
"M",23,3.3,3.83333333333333,3,2.33333333333333,24
"F",21,3.3,3.83333333333333,4,2.75,28
"F",21,3.5,3.83333333333333,3.5,2.75,17
"F",20,3.6,3.66666666666667,2.625,2.91666666666667,18
"M",22,3.7,4.33333333333333,2.5,2.08333333333333,17
"M",21,4.2,3.75,3.75,3.66666666666667,23
"M",21,3.2,4.16666666666667,3.625,2.83333333333333,26
"F",20,5,4,4.125,3.41666666666667,28
"M",22,4.7,4,4.375,1.58333333333333,31
"F",20,3.6,4.58333333333333,2.625,2.91666666666667,27
"F",20,3.6,3.66666666666667,4,3,25
"M",24,2.9,3.66666666666667,2.75,2.91666666666667,23
"F",20,3.5,3.83333333333333,2.75,2.66666666666667,21
"F",19,4,2.58333333333333,1.375,3,27
"F",21,3.5,3.5,2.25,2.75,28
"F",21,3.2,3.08333333333333,3.625,3.08333333333333,23
"F",22,2.6,4.25,3.75,2.5,21
"F",25,2,3.16666666666667,4,2.33333333333333,25
"F",21,2.7,3.08333333333333,3.125,3,11
"F",22,3.2,4.16666666666667,3.25,3,19
"F",25,3.3,2.25,2.125,4,24
"F",20,3.9,3.33333333333333,2.875,3.25,28
"M",24,3.3,3.08333333333333,1.5,3.5,21
"F",20,3,2.75,2.5,3.5,24
"M",21,3.7,3.25,3.25,3.83333333333333,24
"F",20,2.5,4,3.625,2.91666666666667,20
"F",20,2.9,3.58333333333333,3.875,2.16666666666667,19
"M",31,3.9,4.08333333333333,3.875,1.66666666666667,30
"F",20,3.6,4.25,2.375,2.08333333333333,22
"F",22,2.9,3.41666666666667,3,2.83333333333333,16
"F",22,2.1,3.08333333333333,3.375,3.41666666666667,16
"M",21,3.1,3.5,2.75,3.33333333333333,19
"M",22,4,3.66666666666667,4.5,2.58333333333333,30
"F",21,3.1,4.25,2.625,2.83333333333333,23
"F",21,2.3,4.25,2.75,3.33333333333333,19
"F",21,2.8,3.83333333333333,3.25,3,18
"F",21,3.7,4.41666666666667,4.125,2.58333333333333,28
"F",20,2.6,3.5,3.375,2.41666666666667,21
"F",21,2.4,3.58333333333333,2.75,3.58333333333333,19
"F",25,3,3.66666666666667,4.125,2.08333333333333,27
"M",21,2.8,2.08333333333333,3.25,4.33333333333333,24
"F",24,2.9,4.25,2.875,2.66666666666667,21
"F",20,2.4,3.58333333333333,2.875,3,20
"M",21,3.1,4,2.375,2.66666666666667,28
"F",20,1.9,3.33333333333333,3.875,2.16666666666667,12
"F",20,2,3.5,2.125,2.66666666666667,21
"F",18,3.8,3.16666666666667,4,2.25,28
"F",21,3.4,3.58333333333333,3.25,2.66666666666667,31
"F",19,3.7,3.41666666666667,2.625,3.33333333333333,18
"F",21,2.9,4.25,2.75,3.5,25
"F",20,2.3,3.25,4,2.75,19
"M",21,4.1,4.41666666666667,3,2,21
"F",20,2.7,3.25,3.375,2.83333333333333,16
"F",21,3.5,3.91666666666667,3.875,3.5,7
"F",20,3.4,3.58333333333333,3.25,2.5,21
"F",18,3.2,4.5,3.375,3.16666666666667,17
"M",22,3.3,3.58333333333333,4.125,3.08333333333333,22
"F",22,3.3,3.66666666666667,3.5,2.91666666666667,18
"M",24,3.5,2.58333333333333,2,3.16666666666667,25
"F",19,3.2,4.16666666666667,3.625,2.5,24
"F",20,3.1,3.25,3.375,3.83333333333333,23
"F",20,2.8,4.33333333333333,2.125,2.25,23
"F",17,1.7,3.91666666666667,4.625,3.41666666666667,26
"M",19,1.9,2.66666666666667,2.5,3.75,12
"F",20,3.5,3.08333333333333,2.875,3,32
"F",20,2.4,3.75,2.75,2.58333333333333,22
"F",20,2.1,4.16666666666667,4,3.33333333333333,20
"F",20,2.9,4.16666666666667,2.375,2.83333333333333,21
"F",19,1.9,3.25,3.875,3,23
"F",19,2,4.08333333333333,3.375,2.83333333333333,20
"F",22,4.2,2.91666666666667,1.75,3.16666666666667,28
"M",35,4.1,3.83333333333333,3,2.75,31
"F",18,3.7,3.16666666666667,2.625,3.41666666666667,18
"F",19,3.6,3.41666666666667,2.625,3,30
"M",21,1.8,4.08333333333333,3.375,2.66666666666667,19
